,Mean Time (Training Phase),Std
Classical REINFORCE,21.26,6.78
Quantum REINFORCE(5 layer),390.25,210.87
Quantum REINFORCE(4 layer),371.96,130.2
Quantum REINFORCE(3 layer),402.2,397.65
Classical DQN,4485.15,2745.61
Quantum DQN(5 layer),1867.67,1667.12
Quantum DQN(4 layer),1802.57,1308.27
Quantum DQN(3 layer),2199.98,1109.29
Classical Actor Critic,153.62,28.09
Quantum Actor Critic(5 layer),11631.93,2998.76
Quantum Actor Critic(4 layer),16837.14,7471.13
Quantum Actor Critic(3 layer),13273.49,2842.93
