,experiment_3,experiment_4a
Experiment_Name,Deep Q Learning - Classical,Deep Q Learning - Quantum 5 Layers
N_Episodes,2090,1326
Training_Time,4485,1868
Training_Time_per_Episode,2.15,1.41
Total_Reward,675567,1055946
Efficiency,150.63,565.28
Mean_Reward,105.54,165.11
Median_Reward,272.0,430.0
Standard_Deviation,138.98,153.98
Skewness,-0.11,-1.11
Kurtosis,-1.61,-0.18
"Quartiles(Q1,Q2,Q3)",[ 32.75 272.   402.  ],[272. 430. 471.]
IQR,369.25,199.0
Confidence_Interval,"[103.65, 107.42]","[162.49, 167.73]"
SDOM,43.95,48.69
Coeff_of_Variation,131.69,93.26
